Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2562232,2015-02-14,2015-02-14,,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",538148,2014-08-27,Alejandro G. Iñárritu
2,tt1065073,2015-02-14,2015-02-14,,Boyhood,https://www.imdb.com/title/tt1065073/,movie,7.9,165,2014,Drama,321625,2014-01-19,Richard Linklater
3,tt2015381,2015-02-14,2015-02-14,,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,movie,8.0,121,2014,"Action, Adventure, Comedy, Sci-Fi",987037,2014-07-21,James Gunn
4,tt2267998,2015-02-14,2015-02-14,,Gone Girl,https://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Drama, Mystery, Thriller",789541,2014-09-26,David Fincher
5,tt2582802,2015-02-14,2015-02-14,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",647603,2014-01-16,Damien Chazelle
6,tt1490017,2015-02-14,2015-02-14,,The Lego Movie,https://www.imdb.com/title/tt1490017/,movie,7.8,100,2014,"Animation, Action, Adventure, Comedy, Family, Fantasy",311095,2014-02-01,"Christopher Miller, Phil Lord"
7,tt2278388,2015-02-14,2015-02-14,,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,movie,8.1,99,2014,"Adventure, Comedy, Crime",654459,2014-02-06,Wes Anderson
8,tt2084970,2015-02-14,2015-02-14,,The Imitation Game,https://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, Thriller, War",638351,2014-08-29,Morten Tyldum
9,tt1631867,2015-02-14,2015-02-14,,Edge of Tomorrow,https://www.imdb.com/title/tt1631867/,movie,7.9,113,2014,"Action, Sci-Fi",562861,2014-05-28,Doug Liman
10,tt2872718,2015-02-14,2015-02-14,,Nightcrawler,https://www.imdb.com/title/tt2872718/,movie,7.9,117,2014,"Crime, Drama, Thriller",422054,2014-09-05,Dan Gilroy
11,tt0816692,2015-02-14,2015-02-14,,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169,2014,"Adventure, Drama, Sci-Fi",1358631,2014-10-26,Christopher Nolan
12,tt1100089,2015-02-14,2015-02-14,,Foxcatcher,https://www.imdb.com/title/tt1100089/,movie,7.0,134,2014,"Biography, Drama, Sport",128292,2014-05-19,Bennett Miller
13,tt1877832,2015-02-14,2015-02-14,,X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,movie,8.0,132,2014,"Action, Adventure, Sci-Fi, Thriller",634706,2014-05-10,Bryan Singer
14,tt2294449,2015-02-14,2015-02-14,,22 Jump Street,https://www.imdb.com/title/tt2294449/,movie,7.0,112,2014,"Action, Comedy, Crime",328050,2014-06-04,"Christopher Miller, Phil Lord"
15,tt1843866,2015-02-14,2015-02-14,,Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,movie,7.7,136,2014,"Action, Adventure, Sci-Fi",691710,2014-03-13,"Anthony Russo, Joe Russo"
16,tt1646971,2015-02-14,2015-02-14,,How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/,movie,7.8,102,2014,"Animation, Action, Adventure, Family, Fantasy",287675,2014-05-16,Dean DeBlois
17,tt2321549,2015-02-14,2015-02-14,,The Babadook,https://www.imdb.com/title/tt2321549/,movie,6.8,94,2014,"Drama, Horror",180381,2014-01-17,Jennifer Kent
18,tt2980516,2015-02-14,2015-02-14,,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",372292,2014-09-07,James Marsh
19,tt2382298,2015-02-14,2015-02-14,,Life Itself,https://www.imdb.com/title/tt2382298/,movie,7.8,121,2014,"Documentary, Biography",14312,2014-01-19,Steve James
20,tt2103281,2015-02-14,2015-02-14,,Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/,movie,7.6,130,2014,"Action, Adventure, Drama, Sci-Fi",397250,2014-06-26,Matt Reeves
21,tt2582846,2015-02-14,2015-02-14,,The Fault in Our Stars,https://www.imdb.com/title/tt2582846/,movie,7.7,126,2014,"Drama, Romance",324054,2014-05-16,Josh Boone
22,tt1441395,2015-02-14,2015-02-14,,Under the Skin,https://www.imdb.com/title/tt1441395/,movie,6.3,108,2013,"Drama, Horror, Sci-Fi, Thriller",117923,2013-08-29,Jonathan Glazer
23,tt2713180,2015-02-14,2015-02-14,,Fury,https://www.imdb.com/title/tt2713180/,movie,7.6,134,2014,"Action, Drama, War",394901,2014-10-15,David Ayer
24,tt2911666,2015-02-14,2015-02-14,,John Wick,https://www.imdb.com/title/tt2911666/,movie,7.4,101,2014,"Action, Crime, Thriller",488459,2014-09-19,"David Leitch, Chad Stahelski"
25,tt1020072,2015-02-14,2015-02-14,,Selma,https://www.imdb.com/title/tt1020072/,movie,7.5,128,2014,"Biography, Drama, History",79512,2014-11-11,Ava DuVernay
26,tt2179136,2015-02-14,2015-02-14,,American Sniper,https://www.imdb.com/title/tt2179136/,movie,7.3,133,2014,"Action, Biography, Drama, War",412648,2014-11-11,Clint Eastwood
27,tt2310332,2015-02-14,2015-02-14,,The Hobbit: The Battle of the Five Armies,https://www.imdb.com/title/tt2310332/,movie,7.4,144,2014,"Adventure, Fantasy",449414,2014-12-01,Peter Jackson
28,tt0831387,2015-02-14,2015-02-14,,Godzilla,https://www.imdb.com/title/tt0831387/,movie,6.4,123,2014,"Action, Adventure, Sci-Fi, Thriller",361286,2014-05-08,Gareth Edwards
29,tt1706620,2015-02-14,2015-02-14,,Snowpiercer,https://www.imdb.com/title/tt1706620/,movie,7.1,126,2013,"Action, Drama, Sci-Fi",254783,2013-07-29,Bong Joon Ho
30,tt2718492,2015-02-14,2015-02-14,,Ida,https://www.imdb.com/title/tt2718492/,movie,7.4,82,2013,Drama,48543,2013-08-30,Pawel Pawlikowski
31,tt1809398,2015-02-14,2015-02-14,,Unbroken,https://www.imdb.com/title/tt1809398/,movie,7.2,137,2014,"Biography, Drama, Sport, War",133504,2014-11-17,Angelina Jolie
32,tt2245084,2015-02-14,2015-02-14,,Big Hero 6,https://www.imdb.com/title/tt2245084/,movie,7.8,102,2014,"Animation, Action, Adventure, Family, Sci-Fi",384539,2014-10-23,"Chris Williams, Don Hall"
