Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt7286456,2019-09-04,2019-09-04,,Joker,https://www.imdb.com/title/tt7286456/,movie,8.7,122,2019,"Crime, Drama, Thriller",552280,2019-08-31,Todd Phillips
2,tt6155172,2019-09-04,2019-09-04,,Roma,https://www.imdb.com/title/tt6155172/,movie,7.7,135,2018,Drama,119133,2018-08-30,Alfonso Cuarón
3,tt5052448,2019-09-04,2019-09-04,,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",434602,2017-01-23,Jordan Peele
4,tt4975722,2019-12-07,2019-12-07,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,241514,2016-09-02,Barry Jenkins
5,tt1663202,2019-09-04,2019-09-04,,The Revenant,https://www.imdb.com/title/tt1663202/,movie,8.0,156,2015,"Action, Adventure, Biography, Drama, History, Western",648225,2015-12-16,Alejandro G. Iñárritu
6,tt2562232,2019-09-04,2019-09-04,,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",538148,2014-08-27,Alejandro G. Iñárritu
7,tt2024544,2019-09-04,2019-09-04,,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",595541,2013-08-30,Steve McQueen
8,tt1853728,2019-09-04,2019-09-04,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1256853,2012-12-11,Quentin Tarantino
9,tt1832382,2019-09-04,2019-09-04,,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,movie,8.3,123,2011,Drama,204314,2011-02-01,Asghar Farhadi
10,tt1504320,2019-09-04,2019-09-04,,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",607539,2010-09-06,Tom Hooper
11,tt0499549,2019-09-04,2019-09-04,,Avatar,https://www.imdb.com/title/tt0499549/,movie,7.8,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1071183,2009-12-10,James Cameron
12,tt0468569,2019-09-04,2019-09-04,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2155964,2008-07-14,Christopher Nolan
13,tt0469494,2019-09-21,2019-09-21,,There Will Be Blood,https://www.imdb.com/title/tt0469494/,movie,8.2,158,2007,Drama,478187,2007-09-27,Paul Thomas Anderson
14,tt0457430,2019-09-04,2019-09-04,,El laberinto del fauno,https://www.imdb.com/title/tt0457430/,movie,8.2,118,2006,"Drama, Fantasy, War",586272,2006-05-27,Guillermo del Toro
15,tt0388795,2019-09-04,2019-09-04,,Brokeback Mountain,https://www.imdb.com/title/tt0388795/,movie,7.7,134,2005,"Drama, Romance",306813,2005-09-02,Ang Lee
16,tt0338013,2019-09-04,2019-09-04,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",848984,2004-03-09,Michel Gondry
17,tt0167260,2019-09-04,2019-09-04,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1545198,2003-12-01,Peter Jackson
18,tt0317248,2019-09-04,2019-09-04,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",662231,2002-05-18,"Kátia Lund, Fernando Meirelles"
19,tt0166924,2019-09-04,2019-09-04,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",298542,2001-05-16,David Lynch
20,tt0209144,2019-09-04,2019-09-04,,Memento,https://www.imdb.com/title/tt0209144/,movie,8.4,113,2000,"Mystery, Thriller",1057692,2000-09-05,Christopher Nolan
21,tt0137523,2019-09-04,2019-09-04,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1735082,1999-09-10,David Fincher
22,tt0120815,2019-09-04,2019-09-04,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1150730,1998-07-21,Steven Spielberg
23,tt0119217,2019-09-04,2019-09-04,,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",795365,1997-12-02,Gus Van Sant
24,tt0116282,2019-09-04,2019-09-04,,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Drama, Thriller",577344,1996-03-08,"Ethan Coen, Joel Coen"
25,tt0112573,2019-09-04,2019-09-04,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",912848,1995-05-18,Mel Gibson
26,tt0110912,2019-09-04,2019-09-04,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1705469,1994-05-21,Quentin Tarantino
27,tt0108052,2019-09-04,2019-09-04,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1133700,1993-11-30,Steven Spielberg
28,tt0105695,2019-09-04,2019-09-04,,Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",351330,1992-08-03,Clint Eastwood
29,tt0102926,2019-09-04,2019-09-04,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1177097,1991-01-30,Jonathan Demme
30,tt0099685,2019-09-04,2019-09-04,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",942950,1990-09-09,Martin Scorsese
31,tt0097165,2019-09-04,2019-09-04,,Dead Poets Society,https://www.imdb.com/title/tt0097165/,movie,8.1,128,1989,"Comedy, Drama",386242,1989-06-02,Peter Weir
32,tt0095765,2019-09-04,2019-09-04,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,Drama,209970,1988-09-29,Giuseppe Tornatore
33,tt0093058,2019-09-04,2019-09-04,,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,movie,8.3,116,1987,"Drama, War",630428,1987-06-17,Stanley Kubrick
34,tt0091763,2019-09-04,2019-09-04,,Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",360507,1986-12-19,Oliver Stone
35,tt0088846,2019-09-04,2019-09-04,,Brazil,https://www.imdb.com/title/tt0088846/,movie,7.9,132,1985,"Drama, Sci-Fi",178873,1985-02-20,Terry Gilliam
36,tt0086879,2019-09-04,2019-09-04,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",347149,1984-09-06,Milos Forman
37,tt0086250,2019-09-04,2019-09-04,,Scarface,https://www.imdb.com/title/tt0086250/,movie,8.3,170,1983,"Crime, Drama",686940,1983-12-01,Brian De Palma
38,tt0083658,2019-09-04,2019-09-04,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Sci-Fi, Thriller",648869,1982-06-25,Ridley Scott
39,tt0082096,2019-09-04,2019-09-04,,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.3,149,1981,"Adventure, Drama, Thriller, War",217091,1981-09-17,Wolfgang Petersen
40,tt0081398,2019-09-04,2019-09-04,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",299204,1980-11-13,Martin Scorsese
41,tt0078788,2019-09-04,2019-09-04,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",566553,1979-05-19,Francis Ford Coppola
42,tt0077416,2019-09-04,2019-09-04,,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",292189,1978-12-08,Michael Cimino
43,tt0076759,2019-09-04,2019-09-04,,Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1157824,1977-05-25,George Lucas
44,tt0075314,2019-09-04,2019-09-04,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",667026,1976-02-08,Martin Scorsese
45,tt0073486,2019-09-04,2019-09-04,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,857339,1975-11-19,Milos Forman
46,tt0071562,2019-09-04,2019-09-04,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1047393,1974-12-12,Francis Ford Coppola
47,tt0070047,2019-09-04,2019-09-04,,The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8.0,122,1973,Horror,343573,1973-12-26,William Friedkin
48,tt0068646,2019-09-04,2019-09-04,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1496126,1972-03-14,Francis Ford Coppola
49,tt0066921,2019-09-04,2019-09-04,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",711294,1971-12-19,Stanley Kubrick
50,tt0066206,2019-09-04,2019-09-04,,Patton,https://www.imdb.com/title/tt0066206/,movie,7.9,172,1970,"Biography, Drama, War",89801,1970-02-04,Franklin J. Schaffner
51,tt0064115,2019-09-04,2019-09-04,,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110,1969,"Biography, Crime, Drama, Western",192230,1969-09-23,George Roy Hill
52,tt0062622,2019-09-04,2019-09-04,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",561539,1968-04-02,Stanley Kubrick
53,tt0061722,2019-09-04,2019-09-04,,The Graduate,https://www.imdb.com/title/tt0061722/,movie,8.0,106,1967,"Comedy, Drama, Romance",242940,1967-12-20,Mike Nichols
54,tt0060196,2019-09-04,2019-09-04,,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.8,161,1966,Western,644637,1966-12-23,Sergio Leone
55,tt0059742,2019-09-04,2019-09-04,,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8.0,172,1965,"Biography, Drama, Family, Musical, Romance",188818,1965-03-02,Robert Wise
56,tt0057012,2019-09-04,2019-09-04,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,425811,1964-01-29,Stanley Kubrick
