Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0070047,2013-11-26,2013-11-26,,The Exorcist,https://www.imdb.com/title/tt0070047/,movie,8.0,122,1973,Horror,343573,1973-12-26,William Friedkin
2,tt0087800,2013-11-26,2013-11-26,,A Nightmare on Elm Street,https://www.imdb.com/title/tt0087800/,movie,7.5,91,1984,Horror,192405,1984-10-31,Wes Craven
3,tt1259521,2013-11-26,2013-11-26,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2011,Horror,349456,2011-12-11,Drew Goddard
4,tt0073195,2013-11-26,2013-11-26,,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.0,124,1975,"Adventure, Drama, Thriller",520849,1975-06-20,Steven Spielberg
5,tt0435625,2013-11-26,2013-11-26,,The Descent,https://www.imdb.com/title/tt0435625/,movie,7.2,99,2005,"Adventure, Horror, Thriller",189538,2005-03-11,Neil Marshall
6,tt0117571,2013-11-26,2013-11-26,,Scream,https://www.imdb.com/title/tt0117571/,movie,7.2,111,1996,"Horror, Mystery",269589,1996-12-18,Wes Craven
7,tt0072271,2013-11-26,2013-11-26,,The Texas Chain Saw Massacre,https://www.imdb.com/title/tt0072271/,movie,7.5,83,1974,Horror,126191,1974-10-01,Tobe Hooper
8,tt0185937,2013-11-26,2013-11-26,,The Blair Witch Project,https://www.imdb.com/title/tt0185937/,movie,6.5,81,1999,"Horror, Mystery",221415,1999-01-25,"Eduardo Sánchez, Daniel Myrick"
9,tt0054215,2013-11-26,2013-11-26,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",558556,1960-06-16,Alfred Hitchcock
10,tt0077651,2013-11-26,2013-11-26,,Halloween,https://www.imdb.com/title/tt0077651/,movie,7.8,91,1978,"Horror, Thriller",214674,1978-10-25,John Carpenter
11,tt1457767,2013-11-26,2013-11-26,,The Conjuring,https://www.imdb.com/title/tt1457767/,movie,7.5,112,2013,"Horror, Mystery, Thriller",413795,2013-06-08,James Wan
12,tt0387564,2013-11-26,2013-11-26,,Saw,https://www.imdb.com/title/tt0387564/,movie,7.6,103,2004,"Horror, Mystery, Thriller",360475,2004-01-19,James Wan
13,tt1179904,2013-11-26,2013-11-26,,Paranormal Activity,https://www.imdb.com/title/tt1179904/,movie,6.3,86,2007,"Horror, Mystery, Thriller",211858,2007-10-14,Oren Peli
14,tt0298130,2013-11-26,2013-11-26,,The Ring,https://www.imdb.com/title/tt0298130/,movie,7.1,115,2002,"Horror, Mystery",305320,2002-10-02,Gore Verbinski
15,tt0092991,2013-11-26,2013-11-26,,Evil Dead II,https://www.imdb.com/title/tt0092991/,movie,7.8,84,1987,"Comedy, Horror",139824,1987-03-13,Sam Raimi
16,tt0102926,2013-11-26,2013-11-26,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1177097,1991-01-30,Jonathan Demme
17,tt0075005,2013-11-26,2013-11-26,,The Omen,https://www.imdb.com/title/tt0075005/,movie,7.5,111,1976,Horror,101084,1976-06-25,Richard Donner
18,tt0081505,2013-11-26,2013-11-26,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",824125,1980-05-23,Stanley Kubrick
19,tt0094862,2013-11-26,2013-11-26,,Child's Play,https://www.imdb.com/title/tt0094862/,movie,6.6,87,1988,"Horror, Thriller",81752,1988-11-09,Tom Holland
20,tt0195714,2013-11-26,2013-11-26,,Final Destination,https://www.imdb.com/title/tt0195714/,movie,6.7,98,2000,"Horror, Thriller",217075,2000-03-16,James Wong
21,tt0120804,2013-11-26,2013-11-26,,Resident Evil,https://www.imdb.com/title/tt0120804/,movie,6.7,100,2002,"Action, Horror, Sci-Fi",236271,2002-03-12,Paul W.S. Anderson
22,tt0363547,2013-11-26,2013-11-26,,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,movie,7.3,101,2004,"Action, Horror",224562,2004-03-10,Zack Snyder
23,tt0457430,2013-11-26,2013-11-26,,El laberinto del fauno,https://www.imdb.com/title/tt0457430/,movie,8.2,118,2006,"Drama, Fantasy, War",586272,2006-05-27,Guillermo del Toro
24,tt1139797,2013-11-26,2013-11-26,,Låt den rätte komma in,https://www.imdb.com/title/tt1139797/,movie,7.9,114,2008,"Drama, Horror, Romance",198229,2008-01-26,Tomas Alfredson
25,tt0947798,2013-11-26,2013-11-26,,Black Swan,https://www.imdb.com/title/tt0947798/,movie,8.0,108,2010,"Drama, Thriller",664591,2010-09-01,Darren Aronofsky
26,tt2226417,2013-11-26,2013-11-26,,Insidious: Chapter 2,https://www.imdb.com/title/tt2226417/,movie,6.6,106,2013,"Horror, Mystery, Thriller",145964,2013-09-13,James Wan
27,tt0365748,2013-11-26,2013-11-26,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",483475,2004-03-29,Edgar Wright
28,tt0084516,2013-11-26,2013-11-26,,Poltergeist,https://www.imdb.com/title/tt0084516/,movie,7.3,114,1982,"Horror, Thriller",133326,1982-06-04,Tobe Hooper
29,tt0084787,2013-11-26,2013-11-26,,The Thing,https://www.imdb.com/title/tt0084787/,movie,8.1,109,1982,"Horror, Mystery, Sci-Fi",343985,1982-06-25,John Carpenter
30,tt0091064,2013-11-26,2013-11-26,,The Fly,https://www.imdb.com/title/tt0091064/,movie,7.5,96,1986,"Drama, Horror, Sci-Fi",149270,1986-08-15,David Cronenberg
31,tt0078748,2013-11-26,2013-11-26,,Alien,https://www.imdb.com/title/tt0078748/,movie,8.4,117,1979,"Horror, Sci-Fi",737486,1979-05-25,Ridley Scott
32,tt1038988,2013-11-26,2013-11-26,,[Rec],https://www.imdb.com/title/tt1038988/,movie,7.4,78,2007,"Horror, Mystery, Thriller",156920,2007-08-29,"Jaume Balagueró, Paco Plaza"
33,tt0063350,2013-11-26,2013-11-26,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.9,96,1968,Horror,108649,1968-10-01,George A. Romero
34,tt0022913,2013-11-26,2013-11-26,,Freaks,https://www.imdb.com/title/tt0022913/,movie,7.9,64,1932,"Drama, Horror",39592,1932-02-12,Tod Browning
35,tt0074285,2013-11-26,2013-11-26,,Carrie,https://www.imdb.com/title/tt0074285/,movie,7.4,98,1976,Horror,157766,1976-11-03,Brian De Palma
