Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0172495,2013-12-13,2013-12-13,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1253732,2000-05-01,Ridley Scott
2,tt0081505,2013-12-13,2013-12-13,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",824125,1980-05-23,Stanley Kubrick
3,tt0206634,2013-12-13,2013-12-13,,Children of Men,https://www.imdb.com/title/tt0206634/,movie,7.9,109,2006,"Drama, Thriller",438818,2006-09-03,Alfonso Cuarón
4,tt0421715,2013-12-13,2013-12-13,,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,movie,7.8,166,2008,"Drama, Fantasy, Romance",553369,2008-12-10,David Fincher
5,tt0450259,2013-12-13,2013-12-13,,Blood Diamond,https://www.imdb.com/title/tt0450259/,movie,8.0,143,2006,"Adventure, Drama, Thriller",472799,2006-12-06,Edward Zwick
6,tt0959337,2013-12-13,2013-12-13,,Revolutionary Road,https://www.imdb.com/title/tt0959337/,movie,7.3,119,2008,"Drama, Romance",183239,2008-12-15,Sam Mendes
7,tt0407887,2013-12-13,2013-12-13,,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1110493,2006-09-26,Martin Scorsese
8,tt0105236,2013-12-13,2013-12-13,,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Drama, Thriller",858824,1992-01-21,Quentin Tarantino
9,tt0120815,2013-12-13,2013-12-13,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1150730,1998-07-21,Steven Spielberg
10,tt0169547,2013-12-13,2013-12-13,,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.3,122,1999,Drama,1013729,1999-09-08,Sam Mendes
11,tt0120338,2013-12-13,2013-12-13,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",985367,1997-11-01,James Cameron
12,tt0056172,2013-12-13,2013-12-13,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",250347,1962-12-10,David Lean
13,tt0242653,2013-12-13,2013-12-13,,The Matrix Revolutions,https://www.imdb.com/title/tt0242653/,movie,6.7,129,2003,"Action, Sci-Fi",425484,2003-10-27,"Lilly Wachowski, Lana Wachowski"
14,tt0480249,2013-12-13,2013-12-13,,I Am Legend,https://www.imdb.com/title/tt0480249/,movie,7.2,101,2007,"Adventure, Drama, Sci-Fi, Thriller",649114,2007-12-05,Francis Lawrence
15,tt0332452,2013-12-13,2013-12-13,,Troy,https://www.imdb.com/title/tt0332452/,movie,7.2,163,2004,"Drama, History",463587,2004-05-09,Wolfgang Petersen
16,tt0434409,2013-12-13,2013-12-13,,V for Vendetta,https://www.imdb.com/title/tt0434409/,movie,8.2,132,2005,"Action, Drama, Sci-Fi, Thriller",975092,2005-12-11,James McTeigue
17,tt0112573,2013-12-13,2013-12-13,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",912848,1995-05-18,Mel Gibson
18,tt0107818,2013-12-13,2013-12-13,,Philadelphia,https://www.imdb.com/title/tt0107818/,movie,7.7,125,1993,Drama,211260,1993-12-14,Jonathan Demme
19,tt0203009,2013-12-13,2013-12-13,,Moulin Rouge!,https://www.imdb.com/title/tt0203009/,movie,7.6,127,2001,"Drama, Musical, Romance",256281,2001-05-09,Baz Luhrmann
20,tt0416449,2013-12-13,2013-12-13,,300,https://www.imdb.com/title/tt0416449/,movie,7.6,117,2006,"Action, Drama, Fantasy, War",705082,2006-12-09,Zack Snyder
21,tt0064115,2013-12-13,2013-12-13,,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110,1969,"Biography, Crime, Drama, Western",192230,1969-09-23,George Roy Hill
22,tt0289879,2013-12-13,2013-12-13,,The Butterfly Effect,https://www.imdb.com/title/tt0289879/,movie,7.6,113,2004,"Drama, Sci-Fi, Thriller",430731,2004-01-17,"J. Mackye Gruber, Eric Bress"
23,tt0120591,2013-12-13,2013-12-13,,Armageddon,https://www.imdb.com/title/tt0120591/,movie,6.7,151,1998,"Action, Adventure, Sci-Fi, Thriller",378913,1998-06-30,Michael Bay
24,tt0408236,2013-12-13,2013-12-13,,Sweeney Todd: The Demon Barber of Fleet Street,https://www.imdb.com/title/tt0408236/,movie,7.3,116,2007,"Drama, Horror, Musical, Thriller",328926,2007-12-03,Tim Burton
25,tt0177971,2013-12-13,2013-12-13,,The Perfect Storm,https://www.imdb.com/title/tt0177971/,movie,6.4,130,2000,"Action, Adventure, Drama, Thriller",149535,2000-06-26,Wolfgang Petersen
26,tt0405159,2013-12-13,2013-12-13,,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,movie,8.1,132,2004,"Drama, Sport",600586,2004-12-05,Clint Eastwood
27,tt0103644,2013-12-13,2013-12-13,,Alien³,https://www.imdb.com/title/tt0103644/,movie,6.5,114,1992,"Action, Horror, Sci-Fi",262153,1992-05-19,David Fincher
28,tt0103074,2013-12-13,2013-12-13,,Thelma & Louise,https://www.imdb.com/title/tt0103074/,movie,7.5,130,1991,"Adventure, Crime, Drama",126009,1991-05-20,Ridley Scott
29,tt0086250,2013-12-13,2013-12-13,,Scarface,https://www.imdb.com/title/tt0086250/,movie,8.3,170,1983,"Crime, Drama",686940,1983-12-01,Brian De Palma
30,tt0332280,2013-12-13,2013-12-13,,The Notebook,https://www.imdb.com/title/tt0332280/,movie,7.8,123,2004,"Drama, Romance",488244,2004-05-20,Nick Cassavetes
31,tt0068646,2013-12-13,2013-12-13,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1496126,1972-03-14,Francis Ford Coppola
32,tt0783233,2013-12-13,2013-12-13,,Atonement,https://www.imdb.com/title/tt0783233/,movie,7.8,123,2007,"Drama, Mystery, Romance, War",233794,2007-08-28,Joe Wright
33,tt0825232,2013-12-13,2013-12-13,,The Bucket List,https://www.imdb.com/title/tt0825232/,movie,7.4,97,2007,"Comedy, Drama",219185,2007-12-16,Rob Reiner
34,tt0113277,2013-12-13,2013-12-13,,Heat,https://www.imdb.com/title/tt0113277/,movie,8.2,170,1995,"Crime, Drama, Thriller",538976,1995-12-06,Michael Mann
35,tt0328107,2013-12-13,2013-12-13,,Man on Fire,https://www.imdb.com/title/tt0328107/,movie,7.7,146,2004,"Action, Crime, Drama, Thriller",313967,2004-04-21,Tony Scott
36,tt0099674,2013-12-13,2013-12-13,,The Godfather: Part III,https://www.imdb.com/title/tt0099674/,movie,7.6,162,1990,"Crime, Drama",334735,1990-12-12,Francis Ford Coppola
37,tt0335345,2013-12-13,2013-12-13,,The Passion of the Christ,https://www.imdb.com/title/tt0335345/,movie,7.1,127,2004,Drama,204320,2004-02-25,Mel Gibson
38,tt0758758,2013-12-13,2013-12-13,,Into the Wild,https://www.imdb.com/title/tt0758758/,movie,8.1,148,2007,"Adventure, Biography, Drama",537732,2007-09-01,Sean Penn
