Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2975590,2015-11-26,2015-11-26,,Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,movie,6.5,151,2016,"Action, Adventure, Sci-Fi",592635,2016-03-12,Zack Snyder
2,tt3498820,2015-11-26,2015-11-26,,Captain America: Civil War,https://www.imdb.com/title/tt3498820/,movie,7.8,147,2016,"Action, Adventure, Sci-Fi",613470,2016-04-12,"Anthony Russo, Joe Russo"
3,tt3748528,2015-11-26,2015-11-26,,Rogue One,https://www.imdb.com/title/tt3748528/,movie,7.8,133,2016,"Action, Adventure, Sci-Fi",505271,2016-12-10,Gareth Edwards
4,tt3385516,2015-11-26,2015-11-26,,X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,movie,6.9,144,2016,"Action, Adventure, Sci-Fi",370836,2016-05-09,Bryan Singer
5,tt2277860,2015-11-26,2015-11-26,,Finding Dory,https://www.imdb.com/title/tt2277860/,movie,7.3,97,2016,"Animation, Adventure, Comedy, Family",222001,2016-06-08,"Andrew Stanton, Angus MacLane"
6,tt1386697,2015-11-26,2015-11-26,,Suicide Squad,https://www.imdb.com/title/tt1386697/,movie,6.0,123,2016,"Action, Adventure, Fantasy, Sci-Fi",557004,2016-08-01,David Ayer
7,tt1431045,2015-11-26,2015-11-26,,Deadpool,https://www.imdb.com/title/tt1431045/,movie,8.0,108,2016,"Action, Adventure, Comedy, Sci-Fi",850705,2016-01-21,Tim Miller
8,tt1289401,2015-11-26,2015-11-26,,Ghostbusters,https://www.imdb.com/title/tt1289401/,movie,5.2,116,2016,"Action, Comedy, Fantasy, Sci-Fi",193472,2016-07-09,Paul Feig
9,tt2267968,2015-11-26,2015-11-26,,Kung Fu Panda 3,https://www.imdb.com/title/tt2267968/,movie,7.1,95,2016,"Animation, Action, Adventure, Comedy, Family, Fantasy",122170,2016-01-16,"Jennifer Yuh Nelson, Alessandro Carloni"
10,tt0803096,2015-11-26,2015-11-26,,Warcraft,https://www.imdb.com/title/tt0803096/,movie,6.8,123,2016,"Action, Adventure, Fantasy",231209,2016-05-24,Duncan Jones
11,tt1355644,2015-11-26,2015-11-26,,Passengers,https://www.imdb.com/title/tt1355644/,movie,7.0,116,2016,"Drama, Romance, Sci-Fi, Thriller",323105,2016-12-14,Morten Tyldum
12,tt2660888,2015-11-26,2015-11-26,,Star Trek Beyond,https://www.imdb.com/title/tt2660888/,movie,7.1,122,2016,"Action, Adventure, Sci-Fi, Thriller",215453,2016-07-20,Justin Lin
13,tt1628841,2015-11-26,2015-11-26,,Independence Day: Resurgence,https://www.imdb.com/title/tt1628841/,movie,5.2,120,2016,"Action, Adventure, Sci-Fi",158916,2016-06-20,Roland Emmerich
14,tt4196776,2015-11-26,2015-11-26,,Jason Bourne,https://www.imdb.com/title/tt4196776/,movie,6.6,123,2016,"Action, Thriller",195864,2016-07-03,Paul Greengrass
15,tt0475290,2015-11-26,2015-11-26,,"Hail, Caesar!",https://www.imdb.com/title/tt0475290/,movie,6.3,106,2016,"Comedy, Drama, Music, Mystery",114925,2016-02-01,"Ethan Coen, Joel Coen"
16,tt2567026,2015-11-26,2015-11-26,,Alice Through the Looking Glass,https://www.imdb.com/title/tt2567026/,movie,6.2,113,2016,"Adventure, Family, Fantasy",83843,2016-05-10,James Bobin
17,tt4438848,2015-11-26,2015-11-26,,Neighbors 2: Sorority Rising,https://www.imdb.com/title/tt4438848/,movie,5.7,92,2016,Comedy,106793,2016-04-26,Nicholas Stoller
18,tt2094766,2015-11-26,2015-11-26,,Assassin's Creed,https://www.imdb.com/title/tt2094766/,movie,5.7,115,2016,"Action, Adventure, Sci-Fi",172318,2016-12-13,Justin Kurzel
19,tt3040964,2015-11-26,2015-11-26,,The Jungle Book,https://www.imdb.com/title/tt3040964/,movie,7.4,106,2016,"Adventure, Drama, Family, Fantasy",247094,2016-04-04,Jon Favreau
20,tt1211837,2015-11-26,2015-11-26,,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,"Action, Adventure, Fantasy, Sci-Fi",546424,2016-10-13,Scott Derrickson
21,tt3410834,2015-11-26,2015-11-26,,Allegiant,https://www.imdb.com/title/tt3410834/,movie,5.7,120,2016,"Action, Adventure, Mystery, Sci-Fi, Thriller",99665,2016-03-08,Robert Schwentke
22,tt1935897,2015-11-26,2015-11-26,,Amityville: The Awakening,https://www.imdb.com/title/tt1935897/,movie,4.8,85,2017,"Horror, Thriller",11567,2017-06-29,Franck Khalfoun
23,tt3110958,2015-11-26,2015-11-26,,Now You See Me 2,https://www.imdb.com/title/tt3110958/,movie,6.5,129,2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",226276,2016-06-02,Jon M. Chu
24,tt3760922,2015-11-26,2015-11-26,,My Big Fat Greek Wedding 2,https://www.imdb.com/title/tt3760922/,movie,6.0,94,2016,"Comedy, Romance",26671,2016-03-15,Kirk Jones
25,tt1712261,2015-11-26,2015-11-26,,Triple 9,https://www.imdb.com/title/tt1712261/,movie,6.3,115,2016,"Action, Crime, Thriller",61981,2016-02-16,John Hillcoat
26,tt3300542,2015-11-26,2015-11-26,,London Has Fallen,https://www.imdb.com/title/tt3300542/,movie,5.9,99,2016,"Action, Thriller",133642,2016-03-01,Babak Najafi
27,tt3949660,2015-11-26,2015-11-26,,Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.imdb.com/title/tt3949660/,movie,6.0,112,2016,"Action, Adventure, Comedy, Sci-Fi",79540,2016-05-22,Dave Green
28,tt2709768,2015-11-26,2015-11-26,,The Secret Life of Pets,https://www.imdb.com/title/tt2709768/,movie,6.5,87,2016,"Animation, Adventure, Comedy, Family",171387,2016-06-16,"Yarrow Cheney, Chris Renaud"
29,tt1608290,2015-11-26,2015-11-26,,Zoolander 2,https://www.imdb.com/title/tt1608290/,movie,4.7,101,2016,"Action, Comedy",61434,2016-02-01,Ben Stiller
30,tt3065204,2015-11-26,2015-11-26,,The Conjuring 2,https://www.imdb.com/title/tt3065204/,movie,7.3,134,2016,"Horror, Mystery, Thriller",206323,2016-05-13,James Wan
31,tt3183660,2015-11-26,2015-11-26,,Fantastic Beasts and Where to Find Them,https://www.imdb.com/title/tt3183660/,movie,7.3,132,2016,"Adventure, Family, Fantasy",380357,2016-11-08,David Yates
32,tt3691740,2015-11-26,2015-11-26,,The BFG,https://www.imdb.com/title/tt3691740/,movie,6.4,117,2016,"Adventure, Family, Fantasy",71800,2016-05-14,Steven Spielberg
33,tt2948356,2015-11-26,2015-11-26,,Zootopia,https://www.imdb.com/title/tt2948356/,movie,8.0,108,2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",399205,2016-02-11,"Rich Moore, Jared Bush, Byron Howard"
34,tt3799694,2015-11-26,2015-11-26,,The Nice Guys,https://www.imdb.com/title/tt3799694/,movie,7.4,116,2016,"Action, Comedy, Crime, Mystery, Thriller",251682,2016-05-10,Shane Black
35,tt0490215,2015-11-26,2015-11-26,,Silence,https://www.imdb.com/title/tt0490215/,movie,7.2,161,2016,"Drama, History",90185,2016-11-29,Martin Scorsese
36,tt2381991,2015-11-26,2015-11-26,,The Huntsman: Winter's War,https://www.imdb.com/title/tt2381991/,movie,6.1,114,2016,"Action, Adventure, Drama, Fantasy",91149,2016-03-29,Cedric Nicolas-Troyan
37,tt2404435,2015-11-26,2015-11-26,,The Magnificent Seven,https://www.imdb.com/title/tt2404435/,movie,6.9,132,2016,"Action, Adventure, Western",173791,2016-09-08,Antoine Fuqua
38,tt1860213,2015-11-26,2015-11-26,,Dirty Grandpa,https://www.imdb.com/title/tt1860213/,movie,5.9,102,2016,Comedy,105626,2016-01-20,Dan Mazer
39,tt3717252,2015-11-26,2015-11-26,,Underworld: Blood Wars,https://www.imdb.com/title/tt3717252/,movie,5.8,91,2016,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi, War",65127,2016-11-24,Anna Foerster
40,tt2869728,2015-11-26,2015-11-26,,Ride Along 2,https://www.imdb.com/title/tt2869728/,movie,5.9,102,2016,"Action, Comedy, Crime",50375,2016-01-06,Tim Story
41,tt1374989,2015-11-26,2015-11-26,,Pride and Prejudice and Zombies,https://www.imdb.com/title/tt1374989/,movie,5.8,108,2016,"Action, Comedy, Fantasy, Horror, Romance",47978,2016-01-21,Burr Steers
42,tt3774114,2015-11-26,2015-11-26,,Snowden,https://www.imdb.com/title/tt3774114/,movie,7.3,134,2016,"Biography, Crime, Drama, Thriller",124592,2016-07-21,Oliver Stone
43,tt0918940,2015-11-26,2015-11-26,,The Legend of Tarzan,https://www.imdb.com/title/tt0918940/,movie,6.2,110,2016,"Action, Adventure, Drama, Fantasy, Romance",154670,2016-06-27,David Yates
